"formatoMidia","ligacaoCampanhaFieldName","nameFile","OS FormatoModelo","urlFile","Creation Date","Modified Date"
"Vídeo","aniversarioCompraGratisNacional","","16x9","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioCompraGratis16x9.mp4?alt=media&token=b04c8741-8db9-4f15-bde1-fc0808397ad7","Sep 18, 2025 1:14 pm","Sep 18, 2025 1:29 pm"
"Vídeo","aniversarioCompraGratisNacional","","9x16","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioCompraGratis9x16.mp4?alt=media&token=b04c8741-8db9-4f15-bde1-fc0808397ad7","Sep 18, 2025 1:15 pm","Sep 18, 2025 1:28 pm"
"Vídeo","aniversarioCompraGratisNacional","","1x1","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioCompraGratis1x1.mp4?alt=media&token=b04c8741-8db9-4f15-bde1-fc0808397ad7","Sep 18, 2025 1:15 pm","Sep 18, 2025 1:28 pm"
"Vídeo","aniversarioCompraGratisMg","","16x9","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioCompraGratis16x9MG.mp4?alt=media&token=e706d871-6acd-4af6-a8cc-41e68a89b4c2","Sep 18, 2025 1:15 pm","Sep 18, 2025 1:30 pm"
"Vídeo","aniversarioCompraGratisMg","","9x16","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioCompraGratis9x16MG.mp4?alt=media&token=e706d871-6acd-4af6-a8cc-41e68a89b4c2","Sep 18, 2025 1:15 pm","Sep 18, 2025 1:30 pm"
"Vídeo","aniversarioCompraGratisMg","","1x1","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioCompraGratis1x1MG.mp4?alt=media&token=e706d871-6acd-4af6-a8cc-41e68a89b4c2","Sep 18, 2025 1:16 pm","Sep 18, 2025 1:31 pm"
"Vídeo","aniversario1MilhaoNacional","","16x9","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioVsMilhao16x9.mp4?alt=media&token=a2a33092-dd4d-4496-8dae-ed1ddaa6e0f7","Sep 18, 2025 4:54 pm","Sep 18, 2025 5:13 pm"
"Vídeo","aniversario1MilhaoNacional","","9x16","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioVsMilhao9x16.mp4?alt=media&token=a2a33092-dd4d-4496-8dae-ed1ddaa6e0f7","Sep 18, 2025 4:54 pm","Sep 18, 2025 5:13 pm"
"Vídeo","aniversario1MilhaoNacional","","1x1","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioVsMilhao1x1.mp4?alt=media&token=a2a33092-dd4d-4496-8dae-ed1ddaa6e0f7","Sep 18, 2025 4:54 pm","Sep 18, 2025 5:13 pm"
"Vídeo","aniversario1MilhaoMg","","16x9","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioVsMilhaoMg16x9.mp4?alt=media&token=40384e8b-b364-42a0-8471-d628fc471aa1","Sep 18, 2025 4:54 pm","Sep 18, 2025 5:14 pm"
"Vídeo","aniversario1MilhaoMg","","9x16","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioVsMilhaoMg9x16.mp4?alt=media&token=40384e8b-b364-42a0-8471-d628fc471aa1","Sep 18, 2025 4:55 pm","Sep 18, 2025 5:14 pm"
"Vídeo","aniversario1MilhaoMg","","1x1","https://firebasestorage.googleapis.com/v0/b/geofast-38b6b.appspot.com/o/backgroundOferta%2FbgAniversarioVsMilhaoMg1x1.mp4?alt=media&token=40384e8b-b364-42a0-8471-d628fc471aa1","Sep 18, 2025 4:55 pm","Sep 18, 2025 5:14 pm"
